"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          30,      -4.529464164,      -2.304402029,      -2.660576967,       -3.85795999,    -0.02135455844
          0,           0,          31,      -4.558397447,      -2.354496168,      -2.746945681,      -3.963327296,     -0.1271466798
          0,           0,          32,      -4.583813903,      -2.401401267,      -2.822408083,      -4.053999561,     -0.2180825866
          0,           0,          33,      -4.606614603,      -2.444124983,      -2.882954615,      -4.130740497,      -0.294118799
          0,           0,          34,      -4.626918456,      -2.482643197,      -2.933370494,      -4.204786607,     -0.3670465985
          0,           0,          35,      -4.645401477,      -2.517290344,      -2.978432467,      -4.281778744,     -0.4440996468
          0,           0,          36,      -4.662943036,      -2.547915762,      -3.020603023,      -4.337774515,     -0.5001109222
          0,           0,          37,      -4.679866317,      -2.574849359,       -3.06020079,       -4.36644402,     -0.5270205619
          0,           0,          38,      -4.695932308,      -2.598640561,       -3.09690838,      -4.388086043,     -0.5462680367
          0,           0,          39,       -4.71088076,      -2.619736355,      -3.130804798,      -4.419694323,     -0.5779342978
          0,           0,          40,      -4.724764048,      -2.638640473,      -3.162213743,      -4.446336034,     -0.6050964915
          0,           0,          41,      -4.737882941,      -2.655791494,      -3.191654239,       -4.46418163,     -0.6216017493
          0,           0,          42,      -4.750561571,      -2.671561197,      -3.219370369,      -4.476269878,     -0.6307746284
          0,           0,          43,      -4.763001971,      -2.686238158,      -3.245559682,      -4.492544615,     -0.6450011515
          0,           0,          44,      -4.775251932,      -2.700020637,      -3.270324167,        -4.5206957,     -0.6747582141
          0,           0,          45,       -4.78731698,      -2.713053995,      -3.293720822,      -4.540773065,     -0.6975741554
          0,           0,          46,      -4.799196345,      -2.725460975,      -3.315826831,      -4.552283788,     -0.7096275589
          0,           0,          47,      -4.810928923,      -2.737367767,      -3.336790808,      -4.558967167,     -0.7151687139
          0,           0,          48,      -4.822532444,      -2.748870331,      -3.356781335,      -4.563243756,     -0.7178248693
          0,           0,          49,      -4.833974053,      -2.760010158,      -3.375926364,      -4.570576405,       -0.72405078
          0,           0,          50,      -4.845306248,      -2.770849019,      -3.394333007,      -4.581414066,     -0.7348933623
          0,           0,          51,      -4.856543259,      -2.781442373,      -3.412072225,       -4.59835675,     -0.7542427492
          0,           0,          52,      -4.867707161,      -2.791822062,      -3.429186768,      -4.619398449,     -0.7803417553
          0,           0,          53,      -4.878791029,      -2.802067824,      -3.445646215,      -4.631162688,     -0.7919565829
          0,           0,          54,      -4.889777506,      -2.812223972,      -3.461516624,      -4.639125534,      -0.795606987
          0,           0,          55,      -4.900685718,      -2.822251914,      -3.477006901,      -4.652630035,     -0.8034473397
          0,           0,          56,      -4.911507713,      -2.832162336,      -3.492121432,      -4.675598463,     -0.8219964719
          0,           0,          57,      -4.922237212,      -2.841946114,      -3.506861292,      -4.707988595,     -0.8526969105
          0,           0,          58,      -4.932892515,      -2.851610369,      -3.521250711,      -4.747455286,     -0.8939357488
          0,           0,          59,      -4.943451327,      -2.861200641,      -3.535313083,      -4.790173837,     -0.9419506699
          0,           0,          60,      -4.953916669,      -2.870771841,      -3.549067707,       -4.83294581,      -0.992909802
          0,           0,          61,       -4.96434414,      -2.880277336,      -3.562524651,      -4.868533134,      -1.038561235
          0,           0,          62,      -4.974705665,      -2.889691053,      -3.575750569,      -4.896439092,      -1.076314698
