"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         246,      -5.499436017,      -2.129627691,      -4.059256423,    -0.02231771494,      -7.127626088
          0,           0,         247,      -5.501282376,      -2.131286237,      -4.061512176,    -0.02418198731,      -7.126402301
          0,           0,         248,      -5.503119684,      -2.132932736,      -4.063746247,    -0.02603701999,      -7.125175306
          0,           0,         249,      -5.504947995,      -2.134567233,      -4.065959659,    -0.02788288028,      -7.123946161
          0,           0,         250,      -5.506767365,      -2.136189772,      -4.068153407,    -0.02971963574,      -7.122716246
          0,           0,         251,      -5.508577852,      -2.137800399,      -4.070328453,    -0.03154735379,      -7.121486146
          0,           0,         252,      -5.510379512,      -2.139399161,      -4.072485721,    -0.03336610142,      -7.120256311
          0,           0,         253,      -5.512172404,      -2.140986106,      -4.074626087,    -0.03517594512,       -7.11902712
          0,           0,         254,      -5.513956584,      -2.142561281,      -4.076750369,    -0.03697695023,      -7.117799215
          0,           0,         255,       -5.51573211,      -2.144124735,      -4.078859329,    -0.03876918116,      -7.116573523
          0,           0,         256,      -5.517499039,       -2.14567652,      -4.080953651,    -0.04055270088,      -7.115350793
          0,           0,         257,      -5.519257427,      -2.147216685,      -4.083033942,    -0.04232757102,      -7.114131829
          0,           0,         258,      -5.521007331,      -2.148745283,      -4.085100717,    -0.04409385174,      -7.112916089
          0,           0,         259,      -5.522748806,      -2.150262368,      -4.087154387,    -0.04585160188,      -7.111701657
          0,           0,         260,      -5.524481908,      -2.151767993,      -4.089195247,     -0.0476008789,      -7.110486617
          0,           0,         261,      -5.526206693,      -2.153262214,      -4.091223463,    -0.04934173912,      -7.109270099
          0,           0,         262,      -5.527923215,      -2.154745086,      -4.093239063,    -0.05107423792,      -7.108052242
          0,           0,         263,      -5.529631532,      -2.156216667,      -4.095241922,    -0.05279843007,      -7.106833672
          0,           0,         264,      -5.531331697,      -2.157677016,      -4.097231781,    -0.05451436973,      -7.105614809
          0,           0,         265,      -5.533023767,      -2.159126191,      -4.099208226,    -0.05622211016,      -7.104396109
          0,           0,         266,      -5.534707799,      -2.160564254,      -4.101170664,    -0.05792170502,      -7.103177691
          0,           0,         267,       -5.53638385,      -2.161991265,      -4.103118344,    -0.05961320842,      -7.101960082
          0,           0,         268,      -5.538051979,      -2.163407287,      -4.105050401,    -0.06129667521,      -7.100743465
          0,           0,         269,      -5.539712245,      -2.164812384,      -4.106965825,    -0.06297216034,      -7.099527929
          0,           0,         270,      -5.541364709,      -2.166206619,      -4.108863519,    -0.06463971954,      -7.098313413
          0,           0,         271,      -5.543009429,       -2.16759006,      -4.110742308,    -0.06629940881,      -7.097099944
          0,           0,         272,      -5.544646467,      -2.168962771,      -4.112600967,    -0.06795128591,      -7.095887619
          0,           0,         273,      -5.546275882,      -2.170324821,      -4.114438254,    -0.06959540575,      -7.094676421
          0,           0,         274,      -5.547897734,      -2.171676278,      -4.116252938,     -0.0712318273,      -7.093466237
          0,           0,         275,      -5.549512083,      -2.173017212,      -4.118043851,    -0.07286060876,       -7.09225692
          0,           0,         276,      -5.551118988,      -2.174347692,      -4.119809906,    -0.07448180836,      -7.091048558
          0,           0,         277,      -5.552718508,       -2.17566779,       -4.12155013,    -0.07609548443,       -7.08984109
          0,           0,         278,      -5.554310699,      -2.176977577,      -4.123263692,    -0.07770169499,       -7.08863432
